motor_id,timestamp,temperature,vibration,current,rpm,operating_hours
M001,2026-09-18 10:00,62.4,2.1,5.8,1480,1200.0
M001,2026-09-18 10:05,63.1,2.2,5.9,1478,1200.1
M001,2026-09-18 10:10,63.5,2.3,6.0,1482,1200.2
M001,2026-09-18 10:15,64.0,2.2,5.9,1475,1200.3
M001,2026-09-18 10:20,64.4,2.4,6.1,1478,1200.4
M001,2026-09-18 10:25,64.8,2.5,6.0,1472,1200.5
M001,2026-09-18 10:30,65.0,2.4,6.1,1474,1200.6
M001,2026-09-18 10:35,65.4,2.6,6.2,1470,1200.7
M001,2026-09-18 10:40,65.8,2.5,6.1,1472,1200.8
M001,2026-09-18 10:45,66.0,2.7,6.2,1468,1200.9
M002,2026-09-18 10:00,72.0,3.2,7.2,1465,2800.0
M002,2026-09-18 10:05,75.5,3.6,7.5,1455,2800.1
M002,2026-09-18 10:10,78.0,4.1,7.8,1448,2800.2
M002,2026-09-18 10:15,80.5,4.8,8.1,1438,2800.3
M002,2026-09-18 10:20,82.0,5.2,8.4,1425,2800.4
M002,2026-09-18 10:25,84.5,5.8,8.7,1410,2800.5
M002,2026-09-18 10:30,86.0,6.3,9.0,1395,2800.6
M002,2026-09-18 10:35,88.5,6.9,9.3,1370,2800.7
M002,2026-09-18 10:40,90.5,7.5,9.7,1345,2800.8
M002,2026-09-18 10:45,92.0,8.1,10.5,1310,2800.9
M003,2026-09-18 10:00,68.0,4.5,10.1,1785,1950.0
M003,2026-09-18 10:05,68.5,5.1,10.2,1790,1950.1
M003,2026-09-18 10:10,69.0,5.8,10.4,1780,1950.2
M003,2026-09-18 10:15,69.5,6.2,10.7,1775,1950.3
M003,2026-09-18 10:20,70.0,6.8,10.8,1768,1950.4
M003,2026-09-18 10:25,70.5,7.4,11.0,1760,1950.5
M003,2026-09-18 10:30,71.0,8.0,11.2,1750,1950.6
M003,2026-09-18 10:35,71.2,8.4,11.4,1745,1950.7
M003,2026-09-18 10:40,71.5,8.8,11.6,1738,1950.8
M003,2026-09-18 10:45,72.0,9.1,11.8,1730,1950.9
M004,2026-09-18 10:00,58.0,1.9,5.3,1410,900.0
M004,2026-09-18 10:05,58.5,2.0,5.4,1405,900.1
M004,2026-09-18 10:10,59.0,2.1,5.5,1395,900.2
M004,2026-09-18 10:15,59.5,2.1,5.4,1385,900.3
M004,2026-09-18 10:20,60.0,2.2,5.5,1378,900.4
M004,2026-09-18 10:25,60.5,2.3,5.5,1368,900.5
M004,2026-09-18 10:30,61.0,2.4,5.6,1355,900.6
M004,2026-09-18 10:35,61.5,2.5,5.6,1340,900.7
M004,2026-09-18 10:40,62.0,2.6,5.7,1325,900.8
M004,2026-09-18 10:45,62.5,2.7,5.7,1310,900.9
